language,crawl_date,0
ast,20200727,1
ast,20200728,21
ast,20200805,1
ast,20200806,3
ast,20200810,6
ast,20200811,21
ast,20200824,5
ast,20200825,2
ast,20200907,3
ast,20200923,6
ast,20200924,1
ast,20201002,5
ast,20201003,18
ast,20201016,2
ast,20201021,2
ast,20201023,6
ast,20201024,4
ast,20201026,1
ast,20201027,11
ast,20201104,1
ast,20201105,1
ast,20201116,1
ast,20201123,7
ast,20201124,3
ast,20201216,7
ast,20201217,2
ast,20201218,1
ast,20201219,10
ast,20201220,1
ast,20201221,2
ast,20201222,11
ast,20201224,1
ast,20210129,1
ast,20210130,51
ast,20210131,26
ast,20210215,1
ast,20210216,4
ast,20210225,10
ast,20210226,16
ast,20210309,4
ast,20210315,4
ast,20210412,1
ast,20210413,5
ast,20210414,1
ast,20210422,16
ast,20210423,76
ast,20210424,107
ast,20210528,3
ast,20210620,9
ast,20210621,6
ast,20210703,1
ast,20210704,2
ast,20210705,2
ast,20210712,1
ast,20210716,7
be,20200222,2
be,20200225,1
be,20200226,2
be,20200306,1
be,20200307,1
be,20200314,1
be,20200315,11
be,20200316,1
be,20200317,1
be,20200319,3
be,20200320,2
be,20200321,9
be,20200322,4
be,20200323,4
be,20200324,4
be,20200325,7
be,20200327,5
be,20200328,13
be,20200329,18
be,20200330,3
be,20200331,3
be,20200401,2
be,20200402,1
be,20200403,7
be,20200404,19
be,20200405,5
be,20200406,1
be,20200408,6
be,20200409,6
be,20200410,9
be,20200411,7
be,20200412,6
be,20200414,2
be,20200416,3
be,20200417,6
be,20200418,1
be,20200419,10
be,20200420,16
be,20200421,3
be,20200424,19
be,20200425,13
be,20200426,2
be,20200502,1
be,20200503,1
be,20200509,1
be,20200616,1
be,20200618,3
be,20200716,4
be,20200718,1
be,20200722,1
be,20200723,1
be,20200725,1
be,20200727,2
be,20200810,2
be,20200811,2
be,20200824,1
be,20200825,1
be,20200908,1
be,20201027,8
be,20201221,1
be,20201222,3
be,20210129,1
be,20210130,16
be,20210131,17
be,20210309,1
be,20210412,1
be,20210413,2
be,20210422,1
be,20210423,7
be,20210424,11
bg,20200221,7
bg,20200222,104
bg,20200223,3
bg,20200224,2
bg,20200225,8
bg,20200226,7
bg,20200305,5
bg,20200306,7
bg,20200307,2
bg,20200309,5
bg,20200310,12
bg,20200314,9
bg,20200315,146
bg,20200316,37
bg,20200317,34
bg,20200318,2
bg,20200319,45
bg,20200320,16
bg,20200321,118
bg,20200322,222
bg,20200323,202
bg,20200324,73
bg,20200325,150
bg,20200326,108
bg,20200327,21
bg,20200328,127
bg,20200329,84
bg,20200330,123
bg,20200331,111
bg,20200401,3
bg,20200402,41
bg,20200403,27
bg,20200404,233
bg,20200405,87
bg,20200406,2
bg,20200407,23
bg,20200408,43
bg,20200409,84
bg,20200410,162
bg,20200411,150
bg,20200412,76
bg,20200413,3
bg,20200414,16
bg,20200415,11
bg,20200416,15
bg,20200417,21
